"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 31 15:15:27 MSK 2021","Sun Jan 31 15:15:28 MSK 2021","239","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"failed","Sun Jan 31 15:15:29 MSK 2021","Sun Jan 31 15:15:29 MSK 2021","260","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"failed","Sun Jan 31 15:15:30 MSK 2021","Sun Jan 31 15:15:30 MSK 2021","271","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"failed","Sun Jan 31 15:15:30 MSK 2021","Sun Jan 31 15:15:30 MSK 2021","248","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"failed","Sun Jan 31 15:15:28 MSK 2021","Sun Jan 31 15:15:29 MSK 2021","1516","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"failed","Sun Jan 31 15:15:27 MSK 2021","Sun Jan 31 15:15:27 MSK 2021","236","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"failed","Sun Jan 31 15:15:30 MSK 2021","Sun Jan 31 15:15:30 MSK 2021","244","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"failed","Sun Jan 31 15:15:31 MSK 2021","Sun Jan 31 15:15:31 MSK 2021","256","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"passed","Sun Jan 31 15:15:31 MSK 2021","Sun Jan 31 15:15:31 MSK 2021","237","","api","","UsersTestCest","CheckRequiredFields","Check required fields","Get request body from InputData file and send request, checking response "
"passed","Sun Jan 31 15:15:31 MSK 2021","Sun Jan 31 15:15:32 MSK 2021","259","","api","","UsersTestCest","CheckRequiredFields","Check required fields","Get request body from InputData file and send request, checking response "
"passed","Sun Jan 31 15:15:31 MSK 2021","Sun Jan 31 15:15:31 MSK 2021","256","","api","","UsersTestCest","CheckRequiredFields","Check required fields","Get request body from InputData file and send request, checking response "
"failed","Sun Jan 31 15:15:29 MSK 2021","Sun Jan 31 15:15:30 MSK 2021","252","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
"failed","Sun Jan 31 15:15:27 MSK 2021","Sun Jan 31 15:15:27 MSK 2021","461","","api","","UsersTestCest","ByPositiveTest","Check positive sceraios","Get request body from InputData file and send request, checking response"
